{LANGUAGE.ARAB},Arabisch
{LANGUAGE.CATALAN},Katalanisch
{LANGUAGE.GERMAN},Deutsch
{LANGUAGE.ENGLISH},Englisch
{LANGUAGE.SPANISH},Spanisch
{LANGUAGE.FRENCH},Französisch
{LANGUAGE.RUSSIAN},Russisch
{TITLE.LOGIN},Anmeldung
{TITLE.REGISTER},Benutzerregistrierung
{TITLE.GAMESELECTOR},Spielauswahl
{TITLE.TICTACTOE},
{TITLE.CONNECTFOUR},
{TITLE.MINESWEEPER},
{NICKNAME},Spitzname
{PASSWORD},Passwort
{EMAIL},E-Mail
{LOGIN},Einloggen
{REGISTER},Registrieren
{CREATEUSER},Benutzer erstellen
{SELECTLANGUAGE},Sprache auswählen
{TICTACTOE},Tic Tac Toe
{CONNECTFOUR},Connect 4
{MINESWEEPER},Minesweeper
{TOPBAR.NAVIGATOR},Navigator
{TOPBAR.NAVIGATOR.LEADERBOARD},Rangliste
{TOPBAR.NAVIGATOR.MAIN},Hauptmenü
{TOPBAR.LANGUAGES},Sprachen
{TOPBAR.ACCOUNT},Konto
{TOPBAR.ACCOUNT.LOGOUT},Abmelden
{TOPBAR.ACCOUNT.DELETEACCOUNT},Konto löschen  
{TOPBAR.ACCOUNT.DELETEACCOUNTCONF},Sind Sie sicher dass Sie Ihr Konto löschen möchten?
{SUCCESSREGISTER},Erfolgreich registriert
{ERROR.DUPLICATEDEMAIL},E-Mail wird bereits verwendet
{ERROR.DUPLICATEDNICK},Ein Benutzer mit diesem Spitznamen existiert bereits
{ERROR.WRONGLOGIN},Benutzername oder Passwort falsch
{ERROR.UNKNOWN},Unbekannter Fehler
{TICTACTOE.WIN},Gewinnt!  
{TICTACTOE.ISTURN},Am Zug:  
{TICTACTOE.CLOSE},Spiel schließen  
{TICTACTOE.RESTART},Spiel neustarten  
{CONNECTFOUR.WIN},Gewinnt!  
{MINESWEEPER.LOSE},Du bist auf eine Mine getreten :(  
{MINESWEEPER.WIN},Du hast gewonnen! :D 
{LEADERBORD.POSITION},Platz  
{LEADERBORD.PLAYER},Spieler  
{LEADERBORD.PERCENTAGE},% Siege  
{LEADERBORD.VICTORIES},Gesamtsiege  
{LEADERBORD.GAMES},Gesamtspiele  
