{LANGUAGE.ARAB},Arab
{LANGUAGE.CATALAN},Català
{LANGUAGE.GERMAN},Alemany
{LANGUAGE.ENGLISH},Anglès
{LANGUAGE.SPANISH},Espanyol
{LANGUAGE.FRENCH},Francès
{LANGUAGE.RUSSIAN},Rus
{TITLE.LOGIN},Inici de sessió
{TITLE.REGISTER},Registre d'usuari
{TITLE.GAMESELECTOR},Selector de joc
{TITLE.TICTACTOE},Tres en línia
{TITLE.CONNECTFOUR},Connecta 4
{TITLE.MINESWEEPER},Cercador de mines
{NICKNAME},Pseudonim
{PASSWORD},Contrasenya
{EMAIL},Correu
{LOGIN},Iniciar sessió
{REGISTER},Registrar-se
{CREATEUSER},Crear usuari
{SELECTLANGUAGE},Seleccionar idioma
{TICTACTOE},Tres en línia
{CONNECTFOUR},Connecta 4
{MINESWEEPER},Cercador de mines
{TOPBAR.NAVIGATOR},Navegador
{TOPBAR.NAVIGATOR.LEADERBOARD},Classificació
{TOPBAR.NAVIGATOR.MAIN},Menu principal
{TOPBAR.LANGUAGES},Idiomes
{TOPBAR.ACCOUNT},Compte
{TOPBAR.ACCOUNT.LOGOUT},Tancar sessió
{TOPBAR.ACCOUNT.DELETEACCOUNT},Eliminar compte  
{TOPBAR.ACCOUNT.DELETEACCOUNTCONF},Segur que vols eliminar el teu compte?
{SUCCESSREGISTER},Registre amb èxit
{ERROR.DUPLICATEDEMAIL},L'email ja està en ús
{ERROR.DUPLICATEDNICK},Ja existeix un usuari amb aquest pseudònim
{ERROR.WRONGLOGIN},Usuari o contrasenya incorrectes
{ERROR.UNKNOWN},Error desconegut
{TICTACTOE.WIN},Guanya!  
{TICTACTOE.ISTURN},Torn de:  
{TICTACTOE.CLOSE},Tancar joc  
{TICTACTOE.RESTART},Reiniciar partida  
{CONNECTFOUR.WIN},Guanya!  
{MINESWEEPER.LOSE},Has trepitjat una mina :(  
{MINESWEEPER.WIN},Has guanyat! :D  
{LEADERBORD.POSITION},Posició  
{LEADERBORD.PLAYER},Jugador  
{LEADERBORD.PERCENTAGE},% Victòries  
{LEADERBORD.VICTORIES},Victòries totals  
{LEADERBORD.GAMES},Partides totals  
