{LANGUAGE.ARAB},Arab
{LANGUAGE.CATALAN},Catalan
{LANGUAGE.GERMAN},Deutch
{LANGUAGE.ENGLISH},English
{LANGUAGE.SPANISH},Spanish
{LANGUAGE.FRENCH},French
{LANGUAGE.RUSSIAN},Russian
{TITLE.LOGIN},Login
{TITLE.REGISTER},User Registration
{TITLE.GAMESELECTOR},Game Selector
{NICKNAME},Nickname
{PASSWORD},Password
{EMAIL},Email
{LOGIN},Login
{REGISTER},Register
{CREATEUSER},Create User
{SELECTLANGUAGE},Select Language
{TICTACTOE},Tic Tac Toe
{CONNECTFOUR},Connect 4
{MINESWEEPER},Minesweeper
{TOPBAR.NAVIGATOR},Navigator
{TOPBAR.NAVIGATOR.LEADERBOARD},Leaderboard
{TOPBAR.LANGUAGES},Languages
{TOPBAR.ACCOUNT},Account
{TOPBAR.ACCOUNT.LOGOUT},Logout
{TOPBAR.ACCOUNT.DELETEACCOUNT},Delete Account
{SUCCESSREGISTER},Registration Successful
{ERROR.DUPLICATEDEMAIL},Email is already in use
{ERROR.DUPLICATEDNICK},A user with the same nickname already exists
{ERROR.WRONGLOGIN},Incorrect username or password
{ERROR.UNKNOWN},Unknown error
